result	chain	group	code_path	run	handshake_ms
PASS	slhdsa_shake_128s	mlkem512	c	1	1996
PASS	slhdsa_shake_128s	mlkem512	c	2	1976
PASS	slhdsa_shake_128s	mlkem512	c	3	1985
PASS	slhdsa_shake_128s	mlkem512	c	4	1960
PASS	slhdsa_shake_128s	mlkem512	c	5	1983
PASS	slhdsa_shake_128s	mlkem512	c	6	1983
PASS	slhdsa_shake_128s	mlkem512	c	7	1974
PASS	slhdsa_shake_128s	mlkem512	c	8	1973
PASS	slhdsa_shake_128s	mlkem512	c	9	1982
PASS	slhdsa_shake_128s	mlkem512	c	10	1996
PASS	slhdsa_shake_128s	mlkem512	c	11	1975
PASS	slhdsa_shake_128s	mlkem512	c	12	1976
PASS	slhdsa_shake_128s	mlkem512	c	13	1997
PASS	slhdsa_shake_128s	mlkem512	c	14	1976
PASS	slhdsa_shake_128s	mlkem512	c	15	1978
PASS	slhdsa_shake_128s	mlkem512	c	16	1980
PASS	slhdsa_shake_128s	mlkem512	c	17	1969
PASS	slhdsa_shake_128s	mlkem512	c	18	1985
PASS	slhdsa_shake_128s	mlkem512	c	19	1956
PASS	slhdsa_shake_128s	mlkem512	c	20	1985
PASS	slhdsa_shake_128s	mlkem512	c	21	1994
PASS	slhdsa_shake_128s	mlkem512	c	22	1999
PASS	slhdsa_shake_128s	mlkem512	c	23	1977
PASS	slhdsa_shake_128s	mlkem512	c	24	1977
PASS	slhdsa_shake_128s	mlkem512	c	25	1990
PASS	slhdsa_shake_128s	mlkem512	c	26	1959
PASS	slhdsa_shake_128s	mlkem512	c	27	2014
PASS	slhdsa_shake_128s	mlkem512	c	28	1978
PASS	slhdsa_shake_128s	mlkem512	c	29	1966
PASS	slhdsa_shake_128s	mlkem512	c	30	1978
PASS	slhdsa_shake_128s	mlkem512	c	31	1995
PASS	slhdsa_shake_128s	mlkem512	c	32	1983
PASS	slhdsa_shake_128s	mlkem512	c	33	1975
PASS	slhdsa_shake_128s	mlkem512	c	34	1988
PASS	slhdsa_shake_128s	mlkem512	c	35	1962
PASS	slhdsa_shake_128s	mlkem512	c	36	1973
PASS	slhdsa_shake_128s	mlkem512	c	37	1997
PASS	slhdsa_shake_128s	mlkem512	c	38	1993
PASS	slhdsa_shake_128s	mlkem512	c	39	1991
PASS	slhdsa_shake_128s	mlkem512	c	40	1978
PASS	slhdsa_shake_128s	mlkem512	c	41	1991
PASS	slhdsa_shake_128s	mlkem512	c	42	1978
PASS	slhdsa_shake_128s	mlkem512	c	43	1982
PASS	slhdsa_shake_128s	mlkem512	c	44	1975
PASS	slhdsa_shake_128s	mlkem512	c	45	1991
PASS	slhdsa_shake_128s	mlkem512	c	46	1973
PASS	slhdsa_shake_128s	mlkem512	c	47	1995
PASS	slhdsa_shake_128s	mlkem512	c	48	1970
PASS	slhdsa_shake_128s	mlkem512	c	49	1967
PASS	slhdsa_shake_128s	mlkem512	c	50	1997
PASS	slhdsa_shake_128s	mlkem512	c	51	1978
PASS	slhdsa_shake_128s	mlkem512	c	52	1999
PASS	slhdsa_shake_128s	mlkem512	c	53	1992
PASS	slhdsa_shake_128s	mlkem512	c	54	1979
PASS	slhdsa_shake_128s	mlkem512	c	55	1969
PASS	slhdsa_shake_128s	mlkem512	c	56	1998
PASS	slhdsa_shake_128s	mlkem512	c	57	1989
PASS	slhdsa_shake_128s	mlkem512	c	58	1956
PASS	slhdsa_shake_128s	mlkem512	c	59	1963
PASS	slhdsa_shake_128s	mlkem512	c	60	1998
PASS	slhdsa_shake_128s	mlkem512	c	61	1983
PASS	slhdsa_shake_128s	mlkem512	c	62	1994
PASS	slhdsa_shake_128s	mlkem512	c	63	2006
PASS	slhdsa_shake_128s	mlkem512	c	64	1975
PASS	slhdsa_shake_128s	mlkem512	c	65	1994
PASS	slhdsa_shake_128s	mlkem512	c	66	1984
PASS	slhdsa_shake_128s	mlkem512	c	67	1979
PASS	slhdsa_shake_128s	mlkem512	c	68	1964
PASS	slhdsa_shake_128s	mlkem512	c	69	1969
PASS	slhdsa_shake_128s	mlkem512	c	70	1996
PASS	slhdsa_shake_128s	mlkem512	c	71	1986
PASS	slhdsa_shake_128s	mlkem512	c	72	1978
PASS	slhdsa_shake_128s	mlkem512	c	73	2004
PASS	slhdsa_shake_128s	mlkem512	c	74	1998
PASS	slhdsa_shake_128s	mlkem512	c	75	1971
PASS	slhdsa_shake_128s	mlkem512	c	76	1982
PASS	slhdsa_shake_128s	mlkem512	c	77	1979
PASS	slhdsa_shake_128s	mlkem512	c	78	1983
PASS	slhdsa_shake_128s	mlkem512	c	79	1997
PASS	slhdsa_shake_128s	mlkem512	c	80	1974
PASS	slhdsa_shake_128s	mlkem512	c	81	1992
PASS	slhdsa_shake_128s	mlkem512	c	82	1978
PASS	slhdsa_shake_128s	mlkem512	c	83	1971
PASS	slhdsa_shake_128s	mlkem512	c	84	1967
PASS	slhdsa_shake_128s	mlkem512	c	85	1990
PASS	slhdsa_shake_128s	mlkem512	c	86	1974
PASS	slhdsa_shake_128s	mlkem512	c	87	1974
PASS	slhdsa_shake_128s	mlkem512	c	88	2003
PASS	slhdsa_shake_128s	mlkem512	c	89	1980
PASS	slhdsa_shake_128s	mlkem512	c	90	1983
PASS	slhdsa_shake_128s	mlkem512	c	91	1978
PASS	slhdsa_shake_128s	mlkem512	c	92	1995
PASS	slhdsa_shake_128s	mlkem512	c	93	1984
PASS	slhdsa_shake_128s	mlkem512	c	94	2000
PASS	slhdsa_shake_128s	mlkem512	c	95	1985
PASS	slhdsa_shake_128s	mlkem512	c	96	1984
PASS	slhdsa_shake_128s	mlkem512	c	97	2003
PASS	slhdsa_shake_128s	mlkem512	c	98	2004
PASS	slhdsa_shake_128s	mlkem512	c	99	1971
PASS	slhdsa_shake_128s	mlkem512	c	100	1989
PASS	slhdsa_shake_128s	mlkem768	c	1	1974
PASS	slhdsa_shake_128s	mlkem768	c	2	1979
PASS	slhdsa_shake_128s	mlkem768	c	3	1980
